O*NET-SOC Code,Title,Analytical_Thinking,Emotional_Intelligence,Creativity,Manual_Dexterity,AI_Exposure_Index,Skill_Disruption_Index,Labour_Market_Churn,Repetitiveness,Skill_Diversity,Cognitive_Manual_Ratio,Composite_Risk_Score,Automation_Risk,Cluster
11-9141.00,"Property, Real Estate, and Community Association Managers",0.4752851711026616,0.6600000000000003,0.4566666666666667,0.0,0.94,0.97,0.35,0.5,0.24738024375707374,3.1839036691708498,0.601,Medium,1
11-9151.00,Social and Community Service Managers,0.6197718631178707,0.822857142857143,0.79,0.16025641025641024,0.94,0.97,0.35,0.5,0.2679719904220385,3.3814575184912115,0.501,Medium,1
11-9161.00,Emergency Management Directors,0.6653992395437263,0.8571428571428572,0.79,0.282051282051282,0.94,0.97,0.35,0.5,0.23227210083085417,2.957021037883704,0.501,Medium,1
11-9171.00,Funeral Home Managers,0.4752851711026616,0.7342857142857144,0.5,0.3205128205128205,0.94,0.97,0.35,0.5,0.14793179206470897,2.0835395140277697,0.5880000000000001,Medium,0
11-9179.01,Fitness and Wellness Coordinators,0.5209125475285171,0.7500000000000001,0.5800000000000001,0.358974358974359,0.94,0.97,0.35,0.5,0.14178774926501592,2.154793709539559,0.5640000000000001,Medium,0
11-9179.02,Spa Managers,0.6197718631178707,0.8042857142857143,0.5800000000000001,0.282051282051282,0.94,0.97,0.35,0.5,0.19004281285862284,2.5625654235672055,0.5640000000000001,Medium,1
11-9199.01,Regulatory Affairs Managers,0.6197718631178707,0.6785714285714287,0.54,0.0,0.94,0.97,0.35,0.5,0.270465559743009,3.676686576025226,0.5760000000000001,Medium,1
11-9199.02,Compliance Managers,0.6653992395437263,0.7328571428571428,0.5,0.19871794871794873,0.94,0.97,0.35,0.5,0.2064397173915226,2.716770598446967,0.5880000000000001,Medium,1
11-9199.08,Loss Prevention Managers,0.6197718631178707,0.7485714285714287,0.6666666666666666,0.358974358974359,0.94,0.97,0.35,0.5,0.15227798186276725,2.369116068163795,0.538,Medium,0
11-9199.09,Wind Energy Operations Managers,0.6197718631178707,0.7671428571428575,0.54,0.4006410256410256,0.94,0.97,0.35,0.5,0.13759020474600617,2.1394924984121904,0.5760000000000001,Medium,0
11-9199.10,Wind Energy Development Managers,0.6653992395437263,0.6957142857142858,0.5,0.12179487179487175,0.94,0.97,0.35,0.5,0.2283865607345872,2.9931310254981596,0.5880000000000001,Medium,1
11-9199.11,Brownfield Redevelopment Specialists and Site Managers,0.6653992395437263,0.7328571428571428,0.5800000000000001,0.03846153846153849,0.94,0.97,0.35,0.5,0.2742905444619502,3.6739047033500767,0.5640000000000001,Medium,1
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",0.5703422053231939,0.8042857142857143,0.5800000000000001,0.08012820512820512,0.94,0.97,0.35,0.5,0.26456972061047157,3.3693033694295957,0.5640000000000001,Medium,1
13-1021.00,"Buyers and Purchasing Agents, Farm Products",0.6197718631178707,0.5700000000000001,0.54,0.24038461538461536,0.94,0.97,0.35,0.5,0.14838069278771207,2.336315240536127,0.5760000000000001,Medium,0
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",0.5703422053231939,0.5885714285714287,0.54,0.3205128205128205,0.94,0.97,0.35,0.5,0.10785765385799954,2.0705509887855875,0.5760000000000001,Medium,0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",0.6197718631178707,0.6071428571428572,0.54,0.0,0.94,0.97,0.35,0.5,0.2581468291037262,3.533829433453797,0.5760000000000001,Medium,1
13-1031.00,"Claims Adjusters, Examiners, and Investigators",0.6653992395437263,0.6614285714285714,0.4133333333333334,0.24038461538461536,0.94,0.97,0.35,0.5,0.1790612029879809,2.3503475164071364,0.614,Medium,0
13-1032.00,"Insurance Appraisers, Auto Damage",0.42965779467680604,0.4828571428571428,0.3333333333333333,0.358974358974359,0.94,0.97,0.35,0.5,0.07361195865510953,1.4503905226047396,0.638,Medium,0
13-1041.00,Compliance Officers,0.4752851711026616,0.6242857142857146,0.5,0.19871794871794873,0.94,0.97,0.35,0.5,0.1570757437340489,2.2892941079216222,0.5880000000000001,Medium,0
13-1041.01,Environmental Compliance Inspectors,0.6653992395437263,0.59,0.5,0.282051282051282,0.94,0.97,0.35,0.5,0.14376894986712632,2.244608860808708,0.5880000000000001,Medium,0
13-1041.03,Equal Opportunity Representatives and Officers,0.6653992395437263,0.7671428571428575,0.5,0.0,0.94,0.97,0.35,0.5,0.2948779835882139,3.8650841856429996,0.5880000000000001,Medium,1
13-1041.04,Government Property Inspectors and Investigators,0.6653992395437263,0.6971428571428572,0.5,0.44230769230769224,0.94,0.97,0.35,0.5,0.11287596972007037,1.9765752841820496,0.5880000000000001,Medium,0
13-1041.06,Coroners,0.7110266159695818,0.7500000000000001,0.5800000000000001,0.6794871794871795,0.94,0.97,0.35,0.5,0.10224951633031673,1.7304356077244936,0.5640000000000001,Medium,0
13-1041.07,Regulatory Affairs Specialists,0.6197718631178707,0.6428571428571429,0.5,0.0,0.94,0.97,0.35,0.5,0.2614787107486717,3.525258004899511,0.5880000000000001,Medium,1
13-1041.08,Customs Brokers,0.5703422053231939,0.5714285714285716,0.5,0.0,0.94,0.97,0.35,0.5,0.2420663294369181,3.283541546936448,0.5880000000000001,Medium,1
13-1051.00,Cost Estimators,0.5703422053231939,0.5700000000000001,0.5,0.03846153846153849,0.94,0.97,0.35,0.5,0.22485126769026648,3.0463498042284245,0.5880000000000001,Medium,1
